| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
| col_5_track_9 | Samuel Chavleishvili | Mokle Mravalzhamieri | Chavleishvili_-_Mokle_Mravaljamieri.mp3 | Samuel Chavleishvili/Chavleishvili_-_Mokle_Mravaljamieri.mp3 | Samuel Chavleishvili | unknown | Guria |
| col_5_track_12 | Samuel Chavleishvili | Shvidkatsa | Chavleishvili_-_Shvidkaca.mp3 | Samuel Chavleishvili/Chavleishvili_-_Shvidkaca.mp3 | Samuel Chavleishvili | 1909 | Guria |
| col_5_track_8 | Samuel Chavleishvili | Tsamokruli | Chavleishvili_-_Tsamokruli.mp3 | Samuel Chavleishvili/Chavleishvili_-_Tsamokruli.mp3 | Samuel Chavleishvili, Besarion Intskirveli, Varlam Simonishvili | 1909 | Guria |
| col_5_track_4 | Samuel Chavleishvili | Alaverdi | Chavleishvili_-_Alaverdi.mp3 | Samuel Chavleishvili/Chavleishvili_-_Alaverdi.mp3 | Samuel Chavleishvili | 1909 | Guria |
| col_5_track_1 | Samuel Chavleishvili | Brevalo | Chavleishvili_-_Brevalo.mp3 | Samuel Chavleishvili/Chavleishvili_-_Brevalo.mp3 | Samuel Chavleishvili | unknown | Guria |
| col_5_track_13 | Samuel Chavleishvili | Chven Mshvidoba | Chavleishvili_-_Chven_Mshvidoba.mp3 | Samuel Chavleishvili/Chavleishvili_-_Chven_Mshvidoba.mp3 | Samuel Chavleishvili, Samuel Chkhikvishvili, Varlam Simonishvili | 1909 | Guria |
| col_5_track_11 | Samuel Chavleishvili | Gigini | Chavleishvili_-_Gigini.mp3 | Samuel Chavleishvili/Chavleishvili_-_Gigini.mp3 | Samuel Chavleishvili | unknown | Guria |
| col_5_track_7 | Samuel Chavleishvili | Lataria | Chavleishvili_-_Lataria.mp3 | Samuel Chavleishvili/Chavleishvili_-_Lataria.mp3 | Samuel Chavleishvili | unknown | Guria |
| col_5_track_6 | Samuel Chavleishvili | Me Rustveli | Chavleishvili_-_Me_Rustveli.mp3 | Samuel Chavleishvili/Chavleishvili_-_Me_Rustveli.mp3 | Samuel Chavleishvili, Ilarion Chavleishvili | unknown | Guria |
| col_5_track_3 | Samuel Chavleishvili | Mgzavruli | Chavleishvili_-_Mgzavruli.mp3 | Samuel Chavleishvili/Chavleishvili_-_Mgzavruli.mp3 | Samuel Chavleishvili | unknown | Guria |
| col_5_track_5 | Samuel Chavleishvili | Shen Romelman Gananatle | Chavleishvili_-_Shen_Romelman_Gananatle.mp3 | Samuel Chavleishvili/Chavleishvili_-_Shen_Romelman_Gananatle.mp3 | Samuel Chavleishvili | 1909 | Guria |
| col_5_track_10 | Samuel Chavleishvili | Supris Khelkhvavi | Chavleishvili_-_Supris_Khelkhvavi.mp3 | Samuel Chavleishvili/Chavleishvili_-_Supris_Khelkhvavi.mp3 | Samuel Chavleishvili, Besarion Intskirveli, Varlam Simonishvili | 1909 | Guria |
| col_5_track_2 | Samuel Chavleishvili | Svanetshi Natkvami Simgera | Chavleishvili_-_Svanetshi_Natkvami_Simgera.mp3 | Samuel Chavleishvili/Chavleishvili_-_Svanetshi_Natkvami_Simgera.mp3 | Samuel Chavleishvili | unknown | Guria |
| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
|----------|---------------|------------|----------|----------|------------|------|--------|
| col_6_track_3 | ჯოკია მეშველიანის გუნდი | Alilo | Meshveliani_-_Alilo.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Alilo.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_6 | ჯოკია მეშველიანის გუნდი | Buba Kakuchela | Meshveliani_-_Buba_Kakuchela.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Buba_Kakuchela.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_14 | ჯოკია მეშველიანის გუნდი | Chekasivo Ramzaasivo | Meshveliani_-_Chekasivo_Ramzaasivo.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Chekasivo_Ramzaasivo.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_13 | ჯოკია მეშველიანის გუნდი | Diash Ramza | Meshveliani_-_Diash_Ramza.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Diash_Ramza.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_11 | ჯოკია მეშველიანის გუნდი | Kansav Kipiane | Meshveliani_-_Kansav_Kipiane.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Kansav_Kipiane.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_1 | ჯოკია მეშველიანის გუნდი | Kviria | Meshveliani_-_Kviria.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Kviria.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_18 | ჯოკია მეშველიანის გუნდი | Lagusheda | Meshveliani_-_Lagusheda.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Lagusheda.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_23 | ჯოკია მეშველიანის გუნდი | Lajgvash | Meshveliani_-_Lajgvashi.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Lajgvashi.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_2 | ჯოკია მეშველიანის გუნდი | Lemchili | Meshveliani_-_Lemchili.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Lemchili.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_20 | ჯოკია მეშველიანის გუნდი | Lile | Meshveliani_-_Lile.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Lile.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_21 | ჯოკია მეშველიანის გუნდი | Makruli | Meshveliani_-_Makruli.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Makruli.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_8 | ჯოკია მეშველიანის გუნდი | Mgzavruli | Meshveliani_-_Mgzavruli.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Mgzavruli.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_5 | ჯოკია მეშველიანის გუნდი | Mtebze Idga Nislis Para | Meshveliani_-_Mtebze_Idga_Nislis_Para.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Mtebze_Idga_Nislis_Para.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_24 | ჯოკია მეშველიანის გუნდი | Oi Sabrale | Meshveliani_-_Oi_Sabrale.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Oi_Sabrale.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_7 | ჯოკია მეშველიანის გუნდი | Raliveihe | Meshveliani_-_Raliveihe.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Raliveihe.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_4 | ჯოკია მეშველიანის გუნდი | Saperkhulo | Meshveliani_-_Saperkhulo.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Saperkhulo.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_16 | ჯოკია მეშველიანის გუნდი | Shina Vorgili | Meshveliani_-_Shina_Vorgili.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Shina_Vorgili.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
| col_6_track_12 | ჯოკია მეშველიანის გუნდი | Simgera Misha Khergianze | Meshveliani_-_Simgera_Misha_Khergianze.mp3 | ჯოკია მეშველიანის გუნდი/Meshveliani_-_Simgera_Misha_Khergianze.mp3 | Jokia Meshveliani's Ensemble | Unknown | Svaneti |
